psu_number,dist_name,hh_number,s03_code,q03_03
4012.0,Ilam,6.0,112.0,0.0
4012.0,Ilam,8.0,112.0,8.0
4012.0,Ilam,4.0,112.0,0.0
4012.0,Ilam,12.0,112.0,0.0
4012.0,Ilam,11.0,112.0,6.0
4012.0,Ilam,3.0,112.0,0.0
4012.0,Ilam,1.0,112.0,0.0
4012.0,Ilam,10.0,112.0,8.0
4012.0,Ilam,2.0,112.0,0.0
4012.0,Ilam,5.0,112.0,0.0
4012.0,Ilam,7.0,112.0,10.0
4012.0,Ilam,9.0,112.0,7.0
4013.0,Illam,2.0,112.0,8.0
4013.0,Illam,9.0,112.0,7.0
4013.0,Illam,7.0,112.0,9.0
4013.0,Illam,4.0,112.0,8.0
4013.0,Illam,8.0,112.0,2.0
4013.0,Illam,1.0,112.0,6.0
4013.0,Illam,12.0,112.0,6.0
4013.0,Illam,5.0,112.0,9.0
4013.0,Illam,10.0,112.0,8.0
4013.0,Illam,3.0,112.0,7.0
4013.0,Illam,6.0,112.0,5.0
4013.0,Illam,11.0,112.0,6.0
4014.0,Illam,3.0,112.0,3.0
4014.0,Illam,11.0,112.0,1.0
4014.0,Illam,4.0,112.0,2.0
4014.0,Illam,10.0,112.0,2.0
4014.0,Illam,6.0,112.0,2.0
4014.0,Illam,8.0,112.0,0.0
4014.0,Illam,7.0,112.0,3.0
4014.0,Illam,2.0,112.0,0.0
4014.0,Illam,5.0,112.0,3.0
4014.0,Illam,9.0,112.0,3.0
4014.0,Illam,1.0,112.0,0.0
4014.0,Illam,12.0,112.0,3.0
4015.0,Jhapa,7.0,112.0,0.0
4015.0,Jhapa,5.0,112.0,0.0
4015.0,Jhapa,6.0,112.0,0.0
4015.0,Jhapa,10.0,112.0,1.0
4015.0,Jhapa,3.0,112.0,0.0
4015.0,Jhapa,11.0,112.0,2.0
4015.0,Jhapa,2.0,112.0,0.0
4015.0,Jhapa,8.0,112.0,0.0
4015.0,Jhapa,12.0,112.0,1.0
4015.0,Jhapa,1.0,112.0,0.0
4015.0,Jhapa,9.0,112.0,0.0
4015.0,Jhapa,4.0,112.0,0.0
4016.0,Jhapa,7.0,112.0,0.0
4016.0,Jhapa,9.0,112.0,0.0
4016.0,Jhapa,6.0,112.0,0.0
4016.0,Jhapa,4.0,112.0,0.0
4016.0,Jhapa,1.0,112.0,0.0
4016.0,Jhapa,8.0,112.0,0.0
4016.0,Jhapa,2.0,112.0,0.0
4016.0,Jhapa,5.0,112.0,0.0
4016.0,Jhapa,10.0,112.0,2.0
4016.0,Jhapa,3.0,112.0,0.0
4016.0,Jhapa,11.0,112.0,0.0
4016.0,Jhapa,12.0,112.0,1.0
4017.0,Jhapa,1.0,112.0,0.0
4017.0,Jhapa,6.0,112.0,0.0
4017.0,Jhapa,4.0,112.0,0.0
4017.0,Jhapa,11.0,112.0,0.0
4017.0,Jhapa,9.0,112.0,0.0
4017.0,Jhapa,2.0,112.0,0.0
4017.0,Jhapa,12.0,112.0,0.0
4017.0,Jhapa,10.0,112.0,0.0
4017.0,Jhapa,3.0,112.0,0.0
4017.0,Jhapa,8.0,112.0,0.0
4017.0,Jhapa,7.0,112.0,0.0
4017.0,Jhapa,5.0,112.0,0.0
4018.0,Jhapa,5.0,112.0,0.0
4018.0,Jhapa,11.0,112.0,0.0
4018.0,Jhapa,9.0,112.0,0.0
4018.0,Jhapa,10.0,112.0,0.0
4018.0,Jhapa,2.0,112.0,0.0
4018.0,Jhapa,3.0,112.0,0.0
4018.0,Jhapa,6.0,112.0,0.0
4018.0,Jhapa,8.0,112.0,0.0
4018.0,Jhapa,12.0,112.0,0.0
4018.0,Jhapa,7.0,112.0,0.0
4018.0,Jhapa,4.0,112.0,0.0
4018.0,Jhapa,1.0,112.0,0.0
4019.0,Jhapa,3.0,112.0,0.0
4019.0,Jhapa,2.0,112.0,0.0
4019.0,Jhapa,11.0,112.0,0.0
4019.0,Jhapa,10.0,112.0,0.0
4019.0,Jhapa,8.0,112.0,0.0
4019.0,Jhapa,9.0,112.0,0.0
4019.0,Jhapa,4.0,112.0,0.0
4019.0,Jhapa,6.0,112.0,0.0
4019.0,Jhapa,5.0,112.0,0.0
4019.0,Jhapa,7.0,112.0,0.0
4019.0,Jhapa,1.0,112.0,0.0
4019.0,Jhapa,12.0,112.0,0.0
4020.0,Jhapa,6.0,112.0,0.0
4020.0,Jhapa,9.0,112.0,0.0
4020.0,Jhapa,7.0,112.0,0.0
4020.0,Jhapa,3.0,112.0,0.0
4020.0,Jhapa,12.0,112.0,0.0
4020.0,Jhapa,8.0,112.0,0.0
4020.0,Jhapa,2.0,112.0,0.0
4020.0,Jhapa,10.0,112.0,1.0
4020.0,Jhapa,11.0,112.0,0.0
4020.0,Jhapa,4.0,112.0,0.0
4020.0,Jhapa,5.0,112.0,0.0
